nazwa,współczynnik,liczba porządkowa
001.txt,0,1
002.txt,0,2
003.txt,0,3
004.txt,0,4
005.txt,0,5
006.txt,0,6
007.txt,0,7
008.txt,0,8
009.txt,0,9
010.txt,0,10
011.txt,0,11
012.txt,0,12
013.txt,0,13
014.txt,0,14
015.txt,0,15
016.txt,0,16
017.txt,0,17
018.txt,0,18
019.txt,0,19
020.txt,0,20
021.txt,0,21
022.txt,0,22
023.txt,0,23
024.txt,0,24
025.txt,0,25
026.txt,0,26
027.txt,0,27
028.txt,0,28
029.txt,0,29
030.txt,0,30
031.txt,0,31
032.txt,0,32
033.txt,0,33
034.txt,0,34
035.txt,0,35
036.txt,0,36
037.txt,0,37
038.txt,0,38
039.txt,0,39
040.txt,0,40
041.txt,0,41
042.txt,0,42
043.txt,0,43
044.txt,0,44
045.txt,0,45
046.txt,0,46
047.txt,0,47
048.txt,0,48
049.txt,0,49
050.txt,0,50
051.txt,0,51
052.txt,0,52
053.txt,0,53
054.txt,0,54
055.txt,0,55
056.txt,0,56
057.txt,0,57
058.txt,0,58
059.txt,0,59
060.txt,0,60
061.txt,0,61
062.txt,0,62
063.txt,0,63
064.txt,0,64
065.txt,0,65
066.txt,0,66
067.txt,0,67
068.txt,0,68
069.txt,0,69
070.txt,0,70
071.txt,0,71
072.txt,0,72
073.txt,0,73
074.txt,0,74
075.txt,0,75
076.txt,0,76
077.txt,0,77
078.txt,0,78
079.txt,0,79
080.txt,0,80
081.txt,0,81
082.txt,0,82
083.txt,0,83
084.txt,0,84
085.txt,0,85
086.txt,0,86
087.txt,0,87
088.txt,0,88
089.txt,0,89
090.txt,0,90
091.txt,0,91
092.txt,0,92
093.txt,0,93
094.txt,0,94
095.txt,0,95
096.txt,0,96
097.txt,0,97
098.txt,0,98
099.txt,0,99
100.txt,0,100
101.txt,0,101
102.txt,0,102
